Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-05-31 04:05,,TONUSDT,cascade_v4.1,SHORT,0.75,1.8412,,1.7840,1.9209,0.028613,+3.6,+2.0,0.72,UP,0.05,1.9066,1.8050,5.0000,5.0,,,,0,open
2026-05-31 03:05,,ONDOUSDT,cascade_v4.1,SHORT,0.65,0.368516,,0.350569,0.393087,0.00897346,+5.5,+4.1,0.73,UP,0.11,0.388600,0.353300,5.0000,5.0,,,,0,open
2026-05-31 03:05,,TONUSDT,cascade_v4.1,SHORT,0.62,1.8445,,1.7843,1.9217,0.030104,+3.4,+2.1,0.78,UP,0.05,1.9066,1.8050,5.0000,5.0,,,,0,open
2026-05-30 10:05,2026-05-30 14:29,AVAXUSDT,cascade_v4.1,SHORT,0.62,8.9145,8.9745,8.7871,9.0238,0.063696,+0.9,+1.1,1.17,UP,0.03,8.9920,8.8150,10.0000,5.0,-0.34,-3.4,guardian_exit,4,closed
2026-05-30 08:05,2026-05-30 15:14,1000PEPEUSDT,cascade_v4.1,SHORT,0.71,0.00341829,0.00344402,0.00335878,0.00347238,0.00002976,+1.1,+1.2,1.10,UP,0.02,0.00345750,0.00337800,10.0000,5.0,-0.38,-3.8,guardian_exit,7,closed
2026-05-30 07:05,2026-05-30 11:19,ONDOUSDT,cascade_v4.1,LONG,0.72,0.348974,0.344028,0.359581,0.341019,0.00530343,+1.9,+1.3,1.33,DOWN,0.05,0.355600,0.344400,10.0000,5.0,-0.72,-7.2,guardian_exit,4,closed
2026-05-29 21:05,2026-05-30 04:29,TONUSDT,cascade_v4.1,LONG,0.69,1.7606,1.7315,1.8076,1.6960,0.023460,+2.7,+3.0,0.73,DOWN,0.02,1.8076,1.7077,25.0000,5.0,-2.08,-8.3,guardian_exit,7,closed
2026-05-29 14:05,2026-05-29 17:14,POLUSDT,cascade_v4.1,LONG,0.66,0.087904,0.089045,0.088953,0.086238,0.00052445,+0.8,+1.6,0.63,DOWN,0.08,0.088630,0.086500,26.0000,5.0,+1.67,+6.4,guardian_momentum_exit,3,closed
2026-05-28 23:05,2026-05-29 04:07,POLUSDT,cascade_v3.1,LONG,0.81,0.087464,0.086757,0.088949,0.086350,0.00074258,+7.1,-1.6,1.33,DOWN,0.05,0.093700,0.088890,10.0000,5.0,-0.41,-4.1,guardian_exit,5,closed
2026-05-27 21:05,2026-05-27 21:49,LINKUSDT,cascade_v3.1,LONG,0.88,9.3277,9.1987,9.6820,9.2033,0.077467,+3.8,+0.9,2.85,DOWN,0.03,9.6820,9.2420,20.0000,5.0,-1.40,-7.0,sl_hit,0,closed
2026-05-27 21:05,2026-05-27 21:44,SUIUSDT,cascade_v3.1,LONG,0.90,0.984492,0.965979,1.0085,0.966462,0.012020,+8.0,-2.2,1.33,DOWN,0.03,1.0632,1.0061,20.0000,5.0,-1.90,-9.5,sl_hit,0,closed
2026-05-27 20:05,2026-05-27 21:49,TAOUSDT,cascade_v3.1,LONG,0.87,273.3966,265.9444,291.3600,266.0775,4.2051,+6.6,+1.9,2.45,DOWN,0.09,291.3600,268.1800,20.0000,5.0,-2.74,-13.7,sl_hit,1,closed
2026-05-26 16:05,2026-05-27 02:22,TAOUSDT,cascade_v3.1,LONG,0.74,284.5922,276.8315,294.9109,265.6003,5.1593,+1.2,+5.8,0.54,UP,0.09,288.0800,268.1800,26.0000,5.0,-3.57,-13.7,guardian_exit,10,closed
2026-05-25 23:05,2026-05-26 03:05,TAOUSDT,cascade_v3.1,LONG,0.77,279.6397,275.7321,288.0800,266.4132,3.5336,+3.0,+4.1,0.64,UP,0.13,288.0800,268.1800,26.0000,5.0,-1.84,-7.1,guardian_exit,4,closed
2026-05-25 20:05,2026-05-26 01:50,TRXUSDT,cascade_v3.1,LONG,0.88,0.371356,0.372873,0.375075,0.368566,0.00185953,-1.3,+3.6,1.33,UP,0.08,0.366360,0.358150,26.0000,5.0,+0.51,+2.0,guardian_exit,5,closed
2026-05-23 10:05,2026-05-23 10:27,XRPUSDT,cascade_v3.1,SHORT,0.76,1.3173,1.3177,1.2973,1.3324,0.010027,+5.2,-2.5,1.33,DOWN,0.04,1.3859,1.3503,25.0000,5.0,-0.05,-0.2,manual_close,0,closed
2026-05-23 03:05,2026-05-23 11:55,POLUSDT,cascade_v3,SHORT,0.71,0.090675,0.087914,0.089196,0.091920,0.00073942,+1.0,+1.0,1.19,DOWN,0.06,0.091550,0.089740,5.0000,5.0,+0.76,+15.1,guardian_momentum_exit,8,closed
2026-05-23 02:05,2026-05-23 15:01,ADAUSDT,cascade_v3,SHORT,0.68,0.243578,0.242621,0.239183,0.246874,0.00219746,+4.0,-0.7,1.33,DOWN,0.03,0.253400,0.245400,2.5000,5.0,+0.05,+1.8,guardian_momentum_exit,12,closed
2026-05-22 17:05,2026-05-23 11:55,HBARUSDT,cascade_v3,SHORT,0.83,0.089685,0.085883,0.087770,0.091285,0.00064984,+1.4,+2.1,1.20,DOWN,0.09,0.090960,0.087770,5.0000,5.0,+1.06,+21.1,guardian_momentum_exit,18,closed
2026-05-22 17:05,2026-05-23 11:55,ARBUSDT,cascade_v3,SHORT,0.87,0.113243,0.104952,0.108300,0.116524,0.00144760,+2.3,+4.4,1.51,DOWN,0.07,0.115800,0.108300,5.0000,5.0,+1.83,+36.5,guardian_momentum_exit,18,closed
2026-05-22 17:05,2026-05-23 11:55,TRXUSDT,cascade_v3,SHORT,0.82,0.362659,0.359260,0.360014,0.364642,0.00132229,-1.2,+2.5,1.33,DOWN,0.05,0.358360,0.353560,5.0000,5.0,+0.23,+4.6,guardian_momentum_exit,18,closed
2026-05-21 16:05,2026-05-21 19:10,ADAUSDT,cascade_v3,SHORT,0.72,0.248076,0.252526,0.244345,0.254333,0.00186568,+2.1,+0.6,0.60,DOWN,0.07,0.253400,0.246700,25.0000,5.0,-2.26,-9.1,guardian_exit,3,closed
2026-05-21 16:05,2026-05-21 20:15,TONUSDT,cascade_v3,SHORT,0.77,2.0251,2.0619,1.9238,2.0948,0.032448,+2.6,+5.0,1.45,DOWN,0.06,2.0786,1.9238,25.0000,5.0,-2.29,-9.2,guardian_exit,4,closed
2026-05-21 14:05,2026-05-21 17:20,LINKUSDT,cascade_v3,SHORT,0.69,9.6182,9.7379,9.3720,9.8590,0.075948,+2.1,+2.6,1.02,DOWN,0.40,9.8210,9.3720,25.0000,5.0,-1.58,-6.3,guardian_exit,3,closed
