signal_time,symbol,direction,hmm_regime_enc_live,hmm_regime_enc_hold,hmm_regime_enc_delta,long_short_ratio_live,long_short_ratio_hold,long_short_ratio_delta,open_interest_live,open_interest_hold,open_interest_delta,ofi_h4_delta_live,ofi_h4_delta_hold,ofi_h4_delta_delta,cvd_live,cvd_hold,cvd_delta,rsi_h4_live,rsi_h4_hold,rsi_h4_delta,h4_trend_live,h4_trend_hold,h4_trend_delta,cvd_slope_h4_live,cvd_slope_h4_hold,cvd_slope_h4_delta,stochrsi_d_live,stochrsi_d_hold,stochrsi_d_delta,log_ret_20_live,log_ret_20_hold,log_ret_20_delta,vol_ratio_20_live,vol_ratio_20_hold,vol_ratio_20_delta,atr_percentile_h1_live,atr_percentile_h1_hold,atr_percentile_h1_delta
2026-06-18 15:05:10.871379,SUIUSDT,FLAT,2.0,1.0,1.0,0.0,1.0000180163615089,1.0000180163615089,1.301537140491846,92054375.9,92054374.59846286,-6529.500000000931,797694.2,804223.7000000009,-454127613.299999,6396660.500000254,460524273.79999924,26.20111398861981,48.09384519780257,21.892731209182763,-1.0,-1.0,0.0,-0.17244221052538994,-4.433576451905054,4.261134241379664,34.773196384646255,28.80233245960432,5.970863925041936,-0.04984464467677103,-0.006374523577435877,0.04347012109933515,0.09441991467053525,0.07738966690378149,0.017030247766753756,0.2336578581363004,0.0,0.2336578581363004
2026-06-18 15:05:17.174249,AVAXUSDT,FLAT,1.0,1.0,0.0,0.0,1.0000273892129952,1.0000273892129952,1.1241583275579075,8261033.0,8261031.8758416725,30298.5,-28912.5,59211.0,-62310565.0,-46313586.0,15996979.0,28.259904293319835,50.14478153051058,21.884877237190743,-1.0,-1.0,0.0,-0.05620334484344068,-0.021883350810607383,0.0343199940328333,46.74389593772713,47.677452500846435,0.9335565631193035,-0.0255845407006389,-0.006354030455047665,0.019230510245591234,0.18726533205592258,0.09093867274080278,0.0963266593151198,0.35048678720445064,0.02364394993045897,0.32684283727399166
2026-06-18 15:05:23.149620,NEARUSDT,FLAT,2.0,2.0,0.0,0.0,1.0,1.0,0.9179664389694869,43397047.0,43397046.08203356,136901.0,-482889.0,619790.0,292923894.0,261567261.0,31356633.0,59.25274573348523,37.68738086785842,21.565364865626805,1.0,-1.0,2.0,-0.028500976914965385,-0.04267421005011578,0.014173233135150391,93.597231587948,49.341142640612304,44.2560889473357,0.011565965230300724,-0.04783732941416011,0.05940329464446083,0.10114459630488541,0.09325825968414156,0.007886336620743853,0.15855354659248957,0.1571627260083449,0.0013908205841446641
2026-06-18 15:05:29.100525,POLUSDT,FLAT,2.0,1.0,1.0,0.0,0.9999640331877686,0.9999640331877686,0.9805554658383335,153031917.0,153031916.01944453,2383209.0,-668330.0,3051539.0,-902013701.0,-558734142.0,343279559.0,60.597127281160155,50.60611349143081,9.991013789729344,1.0,1.0,0.0,0.019667051872051446,0.007226816503300833,0.012440235368750614,88.02778239438724,73.96448398579916,14.063298408588082,0.019918643306519046,0.005658104816040035,0.014260538490479011,0.12649254723198847,0.14129976746524756,0.014807220233259089,0.7260083449235049,0.18776077885952713,0.5382475660639777
2026-06-18 15:05:35.522345,1000PEPEUSDT,FLAT,1.0,1.0,0.0,0.0,1.0000061330800194,1.0000061330800194,0.9742823629200589,18462395572.0,18462395571.02572,284757775.0,30683661.0,254074114.0,-311288603542.0,-277964480368.0,33324123174.0,37.811214351779455,40.2710706178634,2.4598562660839463,-1.0,-1.0,0.0,0.01717875606468122,-0.03489283622452103,0.052071592289202245,62.95421024081784,8.28526414327589,54.66894609754195,-0.010331529979128796,-0.008189470730199586,0.0021420592489292106,0.20247588314947004,0.08822303245806373,0.11425285069140631,0.4575799721835883,0.025034770514603615,0.4325452016689847
2026-06-18 15:05:41.512186,BNBUSDT,FLAT,0.0,1.0,1.0,0.0,1.000075413104539,1.000075413104539,-0.7145680675942115,546220.71,546221.4245680675,-2547.95,4144.22,6692.17,-188776.3699999991,-73604.3699999994,115171.9999999997,25.767822638743326,38.79298319213177,13.025160553388446,-1.0,-1.0,0.0,-0.6974860329613769,-1.3676887340545343,0.6702027010931574,46.14368198309913,8.732568032269553,37.411113950829574,-0.01969111803829171,-0.00899451985295528,0.01069659818533643,0.19082074582480799,0.1890093219409799,0.0018114238838280727,0.3560500695410292,0.006954102920723227,0.34909596662030595
2026-06-18 15:05:47.748203,ETHUSDT,FLAT,2.0,1.0,1.0,0.0,0.9999696858159661,0.9999696858159661,1.01351660787221,2250899.372,2250898.3584833923,9800.411499999975,227.6535000000017,9572.757999999973,-15106927.412000017,-15839407.03300001,732479.6209999919,36.69606751072529,45.11194488288183,8.415877372156537,-1.0,-1.0,0.0,0.04828247429674259,-0.04326638360439379,0.09154885790113637,56.60476529585054,17.157053503052154,39.44771179279839,-0.0014485521342450622,-0.006292042474772447,0.004843490340527385,0.1687440052973559,0.05605602132581748,0.11268798397153841,0.38247566063977745,0.030598052851182198,0.3518776077885952
2026-06-18 15:05:53.838634,TONUSDT,FLAT,3.0,3.0,0.0,0.0,0.9999210786453545,0.9999210786453545,1.0319667859710187,23197266.7,23197265.668033212,93437.05000000002,-110923.55000000005,204360.60000000006,-262856154.7999998,-264145303.19999984,1289148.4000000358,50.91580834806871,35.81865354543213,15.097154802636581,-1.0,-1.0,0.0,0.004459509087276756,-0.016159585382019424,0.02061909446929618,39.93779286961328,26.21352366975599,13.724269199857293,0.025494273929142604,-0.03679374328283481,0.06228801721197741,0.1098289529322946,0.07828100677001952,0.031547946162275076,0.025034770514603615,0.008344923504867872,0.01668984700973574
2026-06-18 15:06:00.494170,TRXUSDT,FLAT,1.0,1.0,0.0,0.0,1.0000035109855268,1.0000035109855268,1.159952271787671,352540432.0,352540430.8400477,90401.0,54955.0,35446.0,277708409.0,-352849606.0,630558015.0,32.7274995123761,64.86280776228888,32.13530824991278,-1.0,1.0,2.0,-0.06283784447677296,-0.008746136148319587,0.05409170832845337,6.260357109501986,68.07915386365468,61.81879675415269,-0.001501642703573365,0.010357833021184962,0.011859475724758328,0.17131474952945416,0.11408995869387592,0.05722479083557824,0.06954102920723226,0.0,0.06954102920723226
2026-06-18 15:06:13.363074,XRPUSDT,FLAT,2.0,2.0,0.0,0.0,0.9999949652506057,0.9999949652506057,0.9844041954191695,310676027.1,310676026.1155958,975299.4000000004,618882.1500000003,356417.2500000001,-2280108790.3000007,-1419019059.8999987,861089730.400002,25.780977441818322,45.81104992142617,20.030072479607846,-1.0,-1.0,0.0,-0.018454917410667578,-0.02861564424312757,0.010160726832459992,27.782989128666713,30.183556785850243,2.4005676571835295,-0.020721693576032797,-0.00949708158193882,0.011224611994093978,0.14588885249180128,0.05800050097669237,0.0878883515151089,0.4617524339360223,0.02920723226703755,0.43254520166898475
2026-06-18 15:06:20.236740,ARBUSDT,FLAT,1.0,1.0,0.0,0.0,1.0001358017518163,1.0001358017518163,1.0527445790309893,189919865.7,189919864.64725542,1379314.9500000002,959206.3999999993,420108.55000000086,-959848758.4000006,-358325774.09999835,601522984.3000022,46.774917870947334,54.78326972169557,8.008351850748234,-1.0,1.0,2.0,0.018082768589171332,-0.03353306700596626,0.05161583559513759,49.05701530256193,22.168772018851257,26.888243283710672,0.0027153077305215488,0.004283680991165166,0.0015683732606436174,0.1982081631843704,0.08785110086725005,0.11035706231712035,0.40751043115438107,0.0013908205841446453,0.40611961057023643
2026-06-18 15:06:27.149246,DOGEUSDT,FLAT,1.0,1.0,0.0,0.0,1.0000257197188378,1.0000257197188378,1.5371641572216317,2282152842.0,2282152840.462836,15352887.5,-8909204.0,24262091.5,-5770764575.0,-8911896241.0,3141131666.0,25.907433559073993,42.339555659781006,16.432122100707012,-1.0,-1.0,0.0,-0.04629999921986054,0.039782476050058246,0.08608247526991879,32.13327762398962,15.108159797597168,17.025117826392453,-0.020831620860248447,-0.004632855170774384,0.016198765689474065,0.40013070217173685,0.10581753333725587,0.294313168834481,0.26564673157162727,0.14325452016689846,0.1223922114047288
