source,model,symbol,direction,is_live,ts_in_utc,ts_out_utc,ts_in_wita,ts_out_wita,date_entry_utc,date_entry_wita,entry,exit,tp,sl,outcome,net_pnl,modal_used,signal_confidence,hold_bars,status,is_win
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-08T02:05:03.672429+00:00,2026-06-08T05:43:58.151911+00:00,2026-06-08 10:05:03,2026-06-08 13:43:58,2026-06-08,2026-06-08,6.6976495,6.561279,6.459271717482471,7.026594445629382,guardian_exit,0.0978,5.0,0.6954,3,closed,True
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-08T08:05:04.137487+00:00,2026-06-08T11:18:58.856635+00:00,2026-06-08 16:05:04,2026-06-08 19:18:58,2026-06-08,2026-06-08,6.6656655,6.767382,6.46762805996585,6.9095093600085375,guardian_exit,-0.2329,5.0,0.5902,3,closed,False
live_db,ic32_regime_v1,XRPUSDT,LONG,1,2026-06-08T08:05:17.846856+00:00,2026-06-08T11:23:58.691540+00:00,2026-06-08 16:05:17,2026-06-08 19:23:58,2026-06-08,2026-06-08,1.1455724999999999,1.1606194,1.1710403814189259,1.1247330296452684,guardian_exit,0.193,5.0,0.7593,3,closed,True
live_db,ic32_regime_v1,1000PEPEUSDT,LONG,1,2026-06-08T09:05:08.394974+00:00,2026-06-08T11:38:11.349456+00:00,2026-06-08 17:05:08,2026-06-08 19:38:11,2026-06-08,2026-06-08,0.0027799892999999997,0.00283268295,0.002850545728367561,0.0027268608929081097,guardian_exit,0.2803,5.0,0.7408,2,closed,True
live_db,ic32_regime_v1,HBARUSDT,LONG,1,2026-06-08T09:05:25.908217+00:00,2026-06-08T11:38:12.394637+00:00,2026-06-08 17:05:25,2026-06-08 19:38:12,2026-06-08,2026-06-08,0.08150073,0.08235880000000001,0.08290249999040786,0.08035955750239804,guardian_exit,0.1539,5.0,0.7995,2,closed,True
live_db,ic32_regime_v1,NEARUSDT,SHORT,1,2026-06-08T12:05:06.171771+00:00,2026-06-08T15:02:18.996467+00:00,2026-06-08 20:05:06,2026-06-08 23:02:18,2026-06-08,2026-06-08,2.1039475000000003,2.179089,1.9876694744788996,2.224069506380275,guardian_exit,-0.5397,5.0,0.802,2,closed,False
live_db,ic32_regime_v1,TAOUSDT,LONG,1,2026-06-08T12:05:32.744396+00:00,2026-06-08T14:35:30.971265+00:00,2026-06-08 20:05:32,2026-06-08 22:35:30,2026-06-08,2026-06-08,210.89539499999998,214.622635,217.7390409760191,204.90908850599521,guardian_exit,0.2611,5.0,0.7148,2,closed,True
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-08T16:05:07.670440+00:00,2026-06-09T00:33:49.506793+00:00,2026-06-09 00:05:07,2026-06-09 08:33:49,2026-06-08,2026-06-09,6.798599,6.633315,6.6016260119999695,6.946328741000023,guardian_exit,0.6038,5.0,0.7068,8,closed,True
live_db,ic32_regime_v1,POLUSDT,LONG,1,2026-06-08T17:05:06.767677+00:00,2026-06-08T19:08:49.394420+00:00,2026-06-09 01:05:06,2026-06-09 03:08:49,2026-06-08,2026-06-09,0.079769865,0.07862067,0.08152986231406745,0.07815000067148313,guardian_exit,-0.3642,5.0,0.7764,2,closed,False
live_db,ic32_regime_v1,NEARUSDT,SHORT,1,2026-06-08T20:05:05.297722+00:00,2026-06-09T00:33:50.397143+00:00,2026-06-09 04:05:05,2026-06-09 08:33:50,2026-06-08,2026-06-09,2.1719135,2.0750369999999996,2.062921641554805,2.2912479646112986,guardian_exit,1.1111,5.0,0.6767,4,closed,True
