signal_time,symbol,direction,live_hmm,hold_hmm,hmm_match,hmm_regime_enc_live,hmm_regime_enc_hold,hmm_regime_enc_delta,h4_trend_live,h4_trend_hold,h4_trend_delta,ofi_h4_delta_live,ofi_h4_delta_hold,ofi_h4_delta_delta,cvd_slope_h4_live,cvd_slope_h4_hold,cvd_slope_h4_delta,vol_ratio_20_live,vol_ratio_20_hold,vol_ratio_20_delta,vol_spike_zscore_live,vol_spike_zscore_hold,vol_spike_zscore_delta,rsi_h4_live,rsi_h4_hold,rsi_h4_delta,stochrsi_d_live,stochrsi_d_hold,stochrsi_d_delta,long_short_ratio_live,long_short_ratio_hold,long_short_ratio_delta,log_ret_20_live,log_ret_20_hold,log_ret_20_delta,atr_percentile_h1_live,atr_percentile_h1_hold,atr_percentile_h1_delta,_total_delta
2026-06-08 00:05:01.499985,SUIUSDT,FLAT,0.0,1,False,0.0,1.0,1.0,1.0,1.0,0.0,-413136.3000000004,511258.1500000004,924394.4500000008,0.7826774098217859,2.3238217014435407,1.5411442916217548,0.07707443826167523,0.543755554938769,0.4666811166770938,-1.3583668572115066,-1.004294238125317,0.3540726190861896,65.74503285276384,52.74443757516688,13.000595277596965,63.06110210737648,17.04542525648636,46.01567685089012,0.0,1.000549386325261,1.000549386325261,0.009801402968914397,0.054857352130211895,0.0450559491612975,0.4979919678714859,0.1404728789986092,0.35751908887287676,924458.2312945812
2026-06-08 00:05:03.279807,AVAXUSDT,FLAT,0.0,0,True,0.0,0.0,0.0,1.0,-1.0,2.0,6923.5,-104976.5,111900.0,-0.008861067462532795,-0.03869014084027197,0.02982907337773917,0.08318230144338012,0.691006792845303,0.6078244914019229,-1.2126446851826116,-0.6779065717079147,0.5347381134746969,65.30270985606097,45.30347301247237,19.999236843588605,75.28892295320429,21.654262645110595,53.6346603080937,0.0,0.9988037411658033,0.9988037411658033,0.005447999928654479,0.011116232840217944,0.005668232911563465,0.5783132530120482,0.5479833101529903,0.03032994285905788,111977.84109074688
2026-06-08 00:05:04.953810,NEARUSDT,FLAT,0.0,2,False,0.0,2.0,2.0,1.0,1.0,0.0,-295149.5,-443659.5,148510.0,0.5075845742000258,0.09037486374653843,0.41720971045348737,0.10004350658407406,1.940867677806527,1.840824171222453,-1.6158712186595119,1.8935248081019174,3.5093960267614293,62.008047881747295,73.95972483732093,11.951676955573639,55.72557533671516,77.99088862923315,22.265313292517995,0.0,1.0147627668509778,1.0147627668509778,0.08429803324367494,0.08451405139632376,0.00021601815264882251,0.26907630522088355,0.6828929068150209,0.41381660159413736,148553.4132155431
2026-06-08 00:05:06.593895,POLUSDT,FLAT,0.0,1,False,0.0,1.0,1.0,1.0,1.0,0.0,-300141.5,-111188.0,188953.5,-0.054143969504759464,0.030309172691338652,0.08445314219609812,0.06246585038899653,0.8404106077613961,0.7779447573723995,-1.821375727525967,-0.634067899079902,1.187307828446065,61.25763263525221,49.26286519558753,11.994767439664678,66.48808989390636,16.50086554338073,49.987224350525636,0.0,0.9993218130021134,0.9993218130021134,0.008204526931967184,0.038486154678529116,0.030281627746561932,0.46987951807228917,0.7538247566063978,0.28394523853410863,189019.8452461975
2026-06-08 00:05:08.297979,1000PEPEUSDT,FLAT,0.0,1,False,0.0,1.0,1.0,1.0,1.0,0.0,-230488281.0,237157830.5,467646111.5,0.14953266511982216,0.008402845226177753,0.1411298198936444,0.0841681401572054,0.6260594741571985,0.5418913339999931,-1.435100587239233,-0.9536422639574889,0.4814583232817442,67.64602522248015,62.17663734016822,5.469387882311928,75.33342449291666,23.840968048480576,51.49245644443609,0.0,1.0013357954645499,1.0013357954645499,0.02495724484632527,0.04457963163308855,0.019622386786763278,0.5220883534136547,0.36995827538247567,0.152130078031179,467646171.799412
2026-06-08 00:05:09.809962,BNBUSDT,FLAT,0.0,1,False,0.0,1.0,1.0,1.0,1.0,0.0,-5278.545,2967.250000000002,8245.795000000002,0.37974754392792026,0.7157726791738411,0.33602513524592087,0.08386058825372592,0.8226031057331364,0.7387425174794106,-1.4148813125343982,-0.5140362891042431,0.900845023430155,72.5270234660732,67.77346432197851,4.7535591440946945,75.8163933388706,21.337981843158275,54.47841149571232,0.0,1.0040316066666262,1.0040316066666262,0.035969950056132294,0.03316222512497227,0.0028077249311600216,0.24899598393574296,0.7079276773296245,0.4589316933938815,8309.46835434096
2026-06-08 00:05:11.334545,ETHUSDT,FLAT,0.0,3,False,0.0,3.0,3.0,1.0,1.0,0.0,-55643.6985,-12325.440000000002,43318.258499999996,0.09564575993489967,0.07946082159433458,0.016184938340565086,0.13517922641972713,0.47356865644334883,0.3383894300236217,-1.0914238621657524,-0.9545725440989071,0.13685131806684525,76.77341051427365,63.984716944014366,12.788693570259284,77.83722397317077,21.445821778410263,56.3914021947605,0.0,0.9995180217229169,0.9995180217229169,0.05346616633812774,0.04458218856829942,0.008883977769828313,0.642570281124498,0.6717663421418637,0.029196061017365715,43391.96761951196
2026-06-08 00:05:12.977174,TONUSDT,SHORT,0.0,2,False,0.0,2.0,2.0,1.0,1.0,0.0,-26742.850000000093,170019.44999999984,196762.29999999993,-0.13917964769494384,-0.04809561029029634,0.0910840374046475,0.12255109242919562,0.5196527855441712,0.39710169311497556,-1.5061613880552,-0.8657983393562939,0.6403630486989061,55.40387771160405,59.468899089952906,4.0650213783488525,46.70925867458187,14.735914841966418,31.97334383261545,0.0,1.0066923868405635,1.0066923868405635,0.007362285515013362,0.07210220490235708,0.06473991938734372,0.27309236947791166,0.3769123783031989,0.10382000882528725,196802.6421663052
2026-06-08 00:05:15.017660,TRXUSDT,FLAT,0.0,1,False,0.0,1.0,1.0,1.0,1.0,0.0,-134509.5,70765.5,205275.0,0.059797738223344596,0.19383391674332318,0.13403617851997857,0.10167845717819737,0.7411369630990826,0.6394585059208853,-1.82093974037667,-0.8336499540255954,0.9872897863510747,49.24070957658977,48.788233650415734,0.45247592617403853,26.326005923116877,14.811414101196332,11.514591821920545,0.0,0.9978754946851356,0.9978754946851356,0.005163840084627095,0.013865574164455718,0.008701734079828624,0.3493975903614458,0.6161335187760779,0.2667359284146321,205291.00116537607
2026-06-08 00:05:16.516840,XRPUSDT,FLAT,0.0,2,False,0.0,2.0,2.0,1.0,1.0,0.0,-765424.2999999957,6402438.950000004,7167863.25,0.01655036283077554,-0.0005999470184637608,0.017150309849239303,0.10534432839986607,0.4792844713793421,0.37394014297947603,-1.3915486618668076,-1.0761341398058184,0.3154145220609892,64.94585259844033,60.45826710581236,4.487585492627964,62.6758012622926,16.931278137238593,45.74452312505401,0.0,1.0017433943213043,1.0017433943213043,0.028064300584169758,0.047722414712262524,0.019658114128092766,0.5421686746987951,0.7440890125173852,0.2019203378185901,7167917.4119354375
2026-06-08 00:05:17.959923,ARBUSDT,FLAT,0.0,1,False,0.0,1.0,1.0,1.0,1.0,0.0,-1997834.599999999,-1436977.2000000007,560857.3999999983,0.020694597842067796,-0.025868060053675635,0.04656265789574343,0.053338765591912196,0.4673897676008008,0.4140510020088886,-1.162986428712762,-0.8902321481101386,0.2727542806026234,63.62488938020894,49.33482257630347,14.290066803905468,69.91612742835527,16.76637932763294,53.14974810072233,0.0,0.9993810348584015,0.9993810348584015,0.010915814876996187,0.034872774014128645,0.023956959137132458,0.3654618473895582,0.09735744089012517,0.26810440649943307,560927.8646252439
