bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
10605,10641,LONG,1.058529e-05,1.0579997355e-05,1.0923264363187866e-05,1.0305506409203034e-05,1.21,TIMEOUT_MOMENTUM,0.2184,-24.118,10.0,10611.0,0.2609,1.1e-05,0.5
10606,10618,LONG,1.0685339999999999e-05,1.067466e-05,1.1007584448096149e-05,1.0309438887975962e-05,0.86,GUARDIAN_EXIT,-0.09,-24.208,10.0,,0.0,,
10610,10620,SHORT,1.0764615000000001e-05,1.0980435269187633e-05,1.0484171272946685e-05,1.0974947795289989e-05,1.33,LOSS,-1.0425,-25.2504,10.0,,0.0,,
10668,10682,SHORT,1.1744125e-05,1.2158028528468687e-05,1.1256314791229637e-05,1.2151952552192591e-05,1.2,LOSS,-1.8022,-27.0526,10.0,,0.0,,
10679,10682,LONG,1.1735864999999998e-05,1.2343825e-05,1.210983218750068e-05,1.1455389609374486e-05,1.33,GUARDIAN_MOMENTUM_EXIT,2.5502,-24.5024,10.0,,0.0,,
10755,10791,LONG,1.1675835e-05,1.1669997082500001e-05,1.209e-05,1.137099959006124e-05,1.36,TIMEOUT_MOMENTUM,0.1491,-24.3533,10.0,10757.0,0.1916,1.2e-05,0.5
10756,10762,LONG,1.178589e-05,1.2013990000000002e-05,1.2107758087787704e-05,1.1429532978053075e-05,0.9,GUARDIAN_EXIT,0.9277,-23.4256,10.0,,0.0,,
10757,10762,LONG,1.1775885e-05,1.2013990000000002e-05,1.209e-05,1.1432928580979331e-05,0.92,GUARDIAN_EXIT,0.971,-22.4546,10.0,,0.0,,
10758,10762,LONG,1.1685839999999999e-05,1.2013990000000002e-05,1.209e-05,1.143053810351542e-05,1.58,GUARDIAN_EXIT,1.364,-21.0906,10.0,,0.0,,
10759,10762,LONG,1.1715855e-05,1.2013990000000002e-05,1.209e-05,1.1433799689713363e-05,1.33,GUARDIAN_EXIT,1.2324,-19.8582,10.0,,0.0,,
10760,10796,LONG,1.184592e-05,1.183999704e-05,1.2190081075660337e-05,1.1423959731084915e-05,0.82,TIMEOUT,0.1672,-19.6911,10.0,10763.0,0.2097,1.2e-05,0.5
10818,10820,LONG,1.1795895e-05,1.1974010000000002e-05,1.200775473557933e-05,1.1607035066105168e-05,1.12,GUARDIAN_EXIT,0.715,-18.9761,10.0,,0.0,,
10839,10866,LONG,1.2056025e-05,1.1855071967626002e-05,1.225201512455827e-05,1.1861002468860432e-05,1.0,LOSS,-0.1996,-19.1757,10.0,10846.0,0.2471,1.2e-05,0.5
10894,10900,SHORT,1.2443775e-05,1.2644419217084989e-05,1.199e-05,1.2638100167001489e-05,2.34,LOSS,-0.8462,-20.0219,10.0,,0.0,,
10896,10900,SHORT,1.241379e-05,1.2696109257333129e-05,1.203e-05,1.2689764375145558e-05,1.39,LOSS,-1.1771,-21.199,10.0,,0.0,,
10910,10920,SHORT,1.2483755000000001e-05,1.2777684304048044e-05,1.2198560381117261e-05,1.2771298654720685e-05,0.99,LOSS,-0.3007,-21.4997,10.0,10913.0,0.3179,1.2e-05,0.5
10934,10939,SHORT,1.1994e-05,1.1955975e-05,1.168679687987224e-05,1.230680078003194e-05,0.98,GUARDIAN_EXIT,0.1185,-21.3812,10.0,,0.0,,
10974,10984,SHORT,1.2783605e-05,1.230615e-05,1.23e-05,1.3011345116370636e-05,2.12,GUARDIAN_MOMENTUM_EXIT,1.8275,-19.5537,10.0,,0.0,,
11053,11089,SHORT,1.677161e-05,1.6779995805e-05,1.505e-05,1.837699412979351e-05,1.07,TIMEOUT,0.1437,-19.4101,10.0,11055.0,0.1862,1.7e-05,0.5
11058,11094,SHORT,1.7461265000000003e-05,1.74699956325e-05,1.572e-05,1.8644019692082654e-05,1.47,TIMEOUT_MOMENTUM,0.2643,-19.1458,10.0,11060.0,0.3068,1.7e-05,0.5
11060,11062,SHORT,1.723138e-05,1.618809e-05,1.5762250856521674e-05,1.836728228586958e-05,1.29,GUARDIAN_EXIT,2.9873,-16.1585,10.0,,0.0,,
11106,11110,SHORT,1.6001995000000003e-05,1.6338165e-05,1.537803282649314e-05,1.6469966630130154e-05,1.33,GUARDIAN_EXIT,-1.0904,-17.2489,10.0,,0.0,,
11133,11169,SHORT,1.4912540000000001e-05,1.491999627e-05,1.4341787854993407e-05,1.560268803625165e-05,0.83,TIMEOUT_MOMENTUM,0.1026,-17.1462,10.0,11141.0,0.1451,1.5e-05,0.5
11163,11167,LONG,1.3016505e-05,1.3053470000000001e-05,1.363820040470702e-05,1.2504576148823247e-05,1.21,GUARDIAN_EXIT,0.102,-17.0442,10.0,,0.0,,
11164,11200,LONG,1.2896444999999999e-05,1.28899967775e-05,1.3504581017412748e-05,1.2440342986940435e-05,1.33,TIMEOUT_MOMENTUM,0.2646,-16.7797,10.0,11167.0,0.3071,1.3e-05,0.5
11165,11201,LONG,1.2896444999999999e-05,1.28899967775e-05,1.3492829548424382e-05,1.244915658868171e-05,1.33,TIMEOUT_MOMENTUM,0.2646,-16.5151,10.0,11167.0,0.3071,1.3e-05,0.5
11167,11170,LONG,1.306653e-05,1.385307e-05,1.3680525505260981e-05,1.2506501123684756e-05,1.1,GUARDIAN_MOMENTUM_EXIT,2.9698,-13.5454,10.0,,0.0,,
11170,11206,SHORT,1.385307e-05,1.3859996535e-05,1.266e-05,1.4398480694457417e-05,2.19,TIMEOUT_MOMENTUM,0.7651,-12.7802,10.0,11180.0,0.8076,1.3e-05,0.5
11174,11210,SHORT,1.3393300000000001e-05,1.339999665e-05,1.2688890588460293e-05,1.4246102352884928e-05,0.83,TIMEOUT_MOMENTUM,0.2896,-12.4906,10.0,11176.0,0.3321,1.3e-05,0.5
11178,11197,LONG,1.3276635e-05,1.2599644496867239e-05,1.407e-05,1.260594747060254e-05,1.18,LOSS,-1.0825,-13.5731,10.0,11180.0,0.2223,1.3e-05,0.5
11179,11197,LONG,1.332666e-05,1.2612844897284941e-05,1.407e-05,1.2619154474522201e-05,1.05,LOSS,-1.0914,-14.6645,10.0,11181.0,0.2777,1.3e-05,0.5
11294,11296,SHORT,1.329335e-05,1.3096544999999999e-05,1.305181058206137e-05,1.3500384854484659e-05,1.17,GUARDIAN_EXIT,0.7002,-13.9643,10.0,,0.0,,
11334,11336,SHORT,1.3563215000000002e-05,1.3286639999999999e-05,1.3061636045989368e-05,1.405539473850266e-05,1.02,GUARDIAN_EXIT,0.9796,-12.9847,10.0,,0.0,,
11335,11337,SHORT,1.3583205000000001e-05,1.3106549999999999e-05,1.3060503239857452e-05,1.4060675440035638e-05,1.09,GUARDIAN_MOMENTUM_EXIT,1.7146,-11.2701,10.0,,0.0,,
11368,11393,LONG,1.2116055e-05,1.1758171790729174e-05,1.2459839729448026e-05,1.1764053817637993e-05,0.98,LOSS,-0.5846,-11.8547,10.0,11372.0,0.1838,1.2e-05,0.5
11374,11393,LONG,1.2196095e-05,1.188204898488298e-05,1.248412307450533e-05,1.1887992981373667e-05,0.93,LOSS,-0.4298,-12.2845,10.0,11378.0,0.244,1.2e-05,0.5
11391,11393,SHORT,1.227386e-05,1.1815905e-05,1.2011979624700618e-05,1.2485470093824846e-05,1.24,GUARDIAN_MOMENTUM_EXIT,1.8256,-10.4589,10.0,,0.0,,
11462,11498,SHORT,1.2213890000000001e-05,1.2219996945000001e-05,1.1922245754308952e-05,1.2512911061422762e-05,0.98,TIMEOUT_MOMENTUM,0.0578,-10.4011,10.0,11467.0,0.1003,1.2e-05,0.5
11506,11542,SHORT,1.227386e-05,1.2279996929999999e-05,1.1983184489212973e-05,1.2492668877696757e-05,1.33,TIMEOUT,0.1998,-10.2013,10.0,11510.0,0.2423,1.2e-05,0.5
11552,11569,SHORT,1.275362e-05,1.2426209999999999e-05,1.226e-05,1.3517308956705544e-05,0.65,GUARDIAN_EXIT,1.2436,-8.9577,10.0,,0.0,,
11553,11569,SHORT,1.273363e-05,1.2426209999999999e-05,1.226e-05,1.3508334429144805e-05,0.61,GUARDIAN_EXIT,1.1671,-7.7906,10.0,,0.0,,
11559,11569,SHORT,1.2783605e-05,1.2426209999999999e-05,1.2445787520237123e-05,1.3084454369940719e-05,1.12,GUARDIAN_MOMENTUM_EXIT,1.3579,-6.4327,10.0,,0.0,,
11633,11638,SHORT,1.2243875e-05,1.245764852784341e-05,1.1998183734259228e-05,1.2451422816435192e-05,1.18,LOSS,-0.913,-7.3457,10.0,,0.0,,
11742,11745,SHORT,1.311344e-05,1.2776384999999999e-05,1.2774647837361982e-05,1.3367534121978513e-05,1.33,GUARDIAN_MOMENTUM_EXIT,1.2452,-6.1006,10.0,,0.0,,
11743,11745,SHORT,1.309345e-05,1.2776384999999999e-05,1.2762496792380387e-05,1.3341664905714712e-05,1.33,GUARDIAN_MOMENTUM_EXIT,1.1708,-4.9298,10.0,,0.0,,
11749,11785,SHORT,1.281359e-05,1.2819996795e-05,1.2463348797158432e-05,1.3317560300710393e-05,0.69,TIMEOUT_MOMENTUM,0.1496,-4.7802,10.0,11755.0,0.1921,1.3e-05,0.5
11751,11754,LONG,1.2856425e-05,1.2643675e-05,1.323e-05,1.2416232485244195e-05,0.85,GUARDIAN_EXIT,-0.8674,-5.6476,10.0,,0.0,,
11752,11754,LONG,1.2826409999999999e-05,1.2643675e-05,1.323e-05,1.2416734820544969e-05,0.99,GUARDIAN_EXIT,-0.7523,-6.3999,10.0,,0.0,,
11763,11766,LONG,1.2766379999999999e-05,1.248504709002749e-05,1.3081209054417253e-05,1.2491292736395687e-05,1.14,LOSS,-1.1419,-7.5418,10.0,,0.0,,
11808,11816,SHORT,1.205397e-05,1.182591e-05,1.1669598152503898e-05,1.2346092961874025e-05,1.32,GUARDIAN_EXIT,0.906,-6.6358,10.0,,0.0,,
11830,11839,SHORT,1.1724135000000001e-05,1.1505749999999999e-05,1.1461812136589896e-05,1.1945580715852526e-05,1.18,GUARDIAN_MOMENTUM_EXIT,0.8913,-5.7444,10.0,,0.0,,
11857,11863,SHORT,1.1684155000000001e-05,1.1865756146577914e-05,1.148485006615527e-05,1.1859826233461183e-05,1.13,LOSS,-0.8171,-6.5615,10.0,,0.0,,
11900,11903,LONG,1.0685339999999999e-05,1.0644675e-05,1.148e-05,9.860402238173346e-06,0.96,GUARDIAN_EXIT,-0.2303,-6.7918,10.0,,0.0,,
11901,11937,LONG,1.0705349999999999e-05,1.0699997325e-05,1.148e-05,9.8683486064169e-06,0.93,TIMEOUT,0.4021,-6.3898,10.0,11913.0,0.4446,1.1e-05,0.5
11906,11941,LONG,1.0625309999999999e-05,1.0619997344999999e-05,1.1084283344540707e-05,9.885256663864823e-06,0.62,GUARDIAN_MOMENTUM_PARTIAL,0.4997,-5.8901,10.0,11915.0,0.5422,1.1e-05,0.5
11938,11964,SHORT,1.0784605e-05,1.1045985481049548e-05,1.050274400629866e-05,1.1040465248425336e-05,1.1,LOSS,-0.4266,-6.3167,10.0,11940.0,0.2093,1.1e-05,0.5
