2026-06-18 10:11:54 | INFO     | fetchers | [BTCUSDT] Fetching 15m klines 2025-07-01 -> 2026-07-01
2026-06-18 10:11:54 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:54 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:54 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:55 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:55 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:55 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:55 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:55 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:55 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:55 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:56 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:56 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:56 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:56 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:56 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:56 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:57 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:57 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:57 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:57 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:57 | INFO     | fetchers | [BTCUSDT] 15m: 20/36 chunks (56%)  last=2026-01-25
2026-06-18 10:11:58 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:58 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:58 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:58 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:58 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:58 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:11:59 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:00 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:00 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:00 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:00 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:01 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:01 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:01 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:01 | INFO     | binance_client | ✅ klines via futures: fapi.binance.com
2026-06-18 10:12:01 | WARNING  | fetchers | [BTCUSDT] 15m chunk 35/36: tidak ada data (2026-06-20 -> 2026-06-30)
