2026-06-18 10:15:01 | INFO     | evaluator | [BNBUSDT] Winrate: 52.58% (51W / 46L / 97 trades | time_exit=9) | Sharpe=1.88 Sortino=2.41 Calmar=5.90 PF=1.30
2026-06-18 10:15:01 | INFO     | evaluator | [BNBUSDT] Lev 5.0x -> PnL: $+8.88 | DD: 96.48%
2026-06-18 10:15:01 | INFO     | evaluator | [BNBUSDT] Winrate: 52.58% (51W / 46L / 97 trades | time_exit=10) | Sharpe=1.63 Sortino=2.13 Calmar=5.76 PF=1.27
2026-06-18 10:15:02 | INFO     | evaluator | [BNBUSDT] Lev 5.0x -> PnL: $+7.14 | DD: 69.64%
2026-06-18 10:15:02 | INFO     | evaluator | [BNBUSDT] Winrate: 54.88% (45W / 37L / 82 trades | time_exit=8) | Sharpe=1.98 Sortino=2.15 Calmar=8.57 PF=1.44
2026-06-18 10:15:02 | INFO     | evaluator | [BNBUSDT] Lev 5.0x -> PnL: $+10.45 | DD: 87.52%
2026-06-18 10:15:02 | INFO     | evaluator | [BNBUSDT] Winrate: 55.10% (27W / 22L / 49 trades | time_exit=5) | Sharpe=1.53 Sortino=1.63 Calmar=5.76 PF=1.37
2026-06-18 10:15:02 | INFO     | evaluator | [BNBUSDT] Lev 5.0x -> PnL: $+5.59 | DD: 48.16%
2026-06-18 10:15:02 | INFO     | evaluator | [BNBUSDT] Winrate: 45.26% (43W / 52L / 95 trades | time_exit=10) | Sharpe=-0.55 Sortino=-0.33 Calmar=-0.61 PF=0.82
2026-06-18 10:15:02 | INFO     | evaluator | [BNBUSDT] Lev 5.0x -> PnL: $-6.39 | DD: 154.87%
2026-06-18 10:15:03 | INFO     | evaluator | [XRPUSDT] Winrate: 52.00% (39W / 36L / 75 trades | time_exit=3) | Sharpe=2.14 Sortino=3.42 Calmar=16.23 PF=1.58
2026-06-18 10:15:03 | INFO     | evaluator | [XRPUSDT] Lev 5.0x -> PnL: $+12.34 | DD: 62.11%
2026-06-18 10:15:03 | INFO     | evaluator | [XRPUSDT] Winrate: 48.65% (36W / 38L / 74 trades | time_exit=3) | Sharpe=1.79 Sortino=2.81 Calmar=4.02 PF=1.27
2026-06-18 10:15:03 | INFO     | evaluator | [XRPUSDT] Lev 5.0x -> PnL: $+5.95 | DD: 75.68%
2026-06-18 10:15:03 | INFO     | evaluator | [XRPUSDT] Winrate: 52.00% (39W / 36L / 75 trades | time_exit=1) | Sharpe=2.45 Sortino=3.91 Calmar=23.67 PF=1.72
2026-06-18 10:15:03 | INFO     | evaluator | [XRPUSDT] Lev 5.0x -> PnL: $+14.81 | DD: 59.82%
2026-06-18 10:15:04 | INFO     | evaluator | [XRPUSDT] Winrate: 49.28% (34W / 35L / 69 trades | time_exit=2) | Sharpe=1.82 Sortino=2.93 Calmar=4.18 PF=1.31
2026-06-18 10:15:04 | INFO     | evaluator | [XRPUSDT] Lev 5.0x -> PnL: $+6.58 | DD: 84.84%
