Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-05-18 19:05,2026-05-18 22:16,XRPUSDT,cascade_v3,SHORT,0.70,1.3813,1.3945,1.3541,1.4352,0.013583,+3.4,+1.5,0.50,DOWN,0.45,1.4284,1.3600,100.0000,5.0,-4.85,-4.8,guardian_exit,3,closed
2026-05-18 12:05,2026-05-18 15:31,1000PEPEUSDT,cascade_v3,SHORT,0.83,0.00365057,0.00360760,0.00357406,0.00370796,0.00003826,+4.2,-1.2,1.33,DOWN,0.13,0.00380440,0.00369420,100.0000,5.0,+5.81,+5.8,guardian_exit,3,closed
2026-05-18 12:05,2026-05-18 22:06,ARBUSDT,cascade_v3,SHORT,0.80,0.116142,0.117759,0.113654,0.118008,0.00124380,+5.4,-1.3,1.33,DOWN,0.11,0.122400,0.117700,100.0000,5.0,-7.04,-7.0,guardian_exit,10,closed
2026-05-18 12:05,2026-05-18 15:06,DOGEUSDT,cascade_v3,LONG,0.72,0.105233,0.103718,0.107856,0.103265,0.00131186,+7.2,-2.3,1.33,DOWN,0.31,0.112780,0.107640,100.0000,5.0,-7.28,-7.3,guardian_exit,3,closed
2026-05-18 04:05,2026-05-18 15:31,SUIUSDT,cascade_v3,SHORT,0.65,1.0448,1.0269,1.0182,1.0966,0.013271,+4.3,+0.9,0.51,DOWN,0.03,1.0900,1.0357,100.0000,5.0,+8.47,+8.5,guardian_exit,11,closed
2026-05-18 03:05,2026-05-18 08:41,NEARUSDT,cascade_v3,SHORT,0.66,1.5112,1.4827,1.4709,1.5415,0.020185,+8.1,-1.7,1.33,DOWN,0.05,1.6330,1.5370,100.0000,5.0,+9.35,+9.3,guardian_exit,5,closed
2026-05-18 03:05,2026-05-18 10:06,LINKUSDT,cascade_v3,SHORT,0.77,9.5562,9.4257,9.3725,9.6940,0.091882,+12.7,-0.6,1.33,DOWN,0.10,10.7690,9.6090,100.0000,5.0,+6.75,+6.8,guardian_exit,7,closed
2026-05-17 07:05,2026-05-17 10:06,TRXUSDT,cascade_v3,SHORT,0.70,0.353843,0.355218,0.347760,0.355968,0.00069680,+0.5,+1.7,2.86,UP,0.05,0.355620,0.347760,100.0000,5.0,-2.02,-2.0,guardian_exit,3,closed
2026-05-16 15:05,2026-05-17 01:41,SOLUSDT,cascade_v3,SHORT,0.72,86.4468,85.7929,85.2763,87.3246,0.585227,+8.3,-3.8,1.33,DOWN,0.08,93.6400,89.7300,100.0000,5.0,+3.70,+3.7,guardian_exit,10,closed
2026-05-16 11:05,2026-05-16 15:06,HBARUSDT,cascade_v3,SHORT,0.69,0.091034,0.091976,0.089694,0.092040,0.00067028,+8.2,-0.4,1.33,DOWN,0.15,0.098460,0.091430,100.0000,5.0,-5.25,-5.2,guardian_exit,4,closed
2026-05-15 18:05,2026-05-15 23:16,ONDOUSDT,cascade_v3,SHORT,0.83,0.369715,0.363181,0.357319,0.379012,0.00619781,+12.3,-0.9,1.33,DOWN,0.04,0.415200,0.373200,100.0000,5.0,+8.76,+8.8,guardian_exit,5,closed
2026-05-15 17:05,2026-05-16 05:21,TRXUSDT,cascade_v3,SHORT,0.71,0.351944,0.350935,0.346610,0.356157,0.00107320,+1.0,+1.5,1.27,DOWN,0.08,0.355620,0.346610,100.0000,5.0,+1.35,+1.4,guardian_exit,12,closed
2026-05-15 17:05,2026-05-16 04:41,ARBUSDT,cascade_v3,SHORT,0.74,0.125537,0.123662,0.122272,0.127986,0.00163257,+8.2,-2.2,1.33,DOWN,0.10,0.135800,0.128300,100.0000,5.0,+7.39,+7.4,guardian_exit,11,closed
2026-05-15 15:05,2026-05-16 04:11,XAUTUSDT,cascade_v3,SHORT,0.73,4553.52,4542.02,4507.64,4587.93,22.9400,+3.3,-1.9,1.33,DOWN,0.85,4705.42,4638.47,100.0000,5.0,+1.18,+1.2,guardian_exit,13,closed
2026-05-14 14:05,2026-05-14 17:07,AVAXUSDT,cascade_v2,LONG,1.00,9.7879,10.0470,10.1520,9.5774,0.071295,+3.7,+1.8,1.73,UP,0.13,10.1520,9.6130,100.0000,5.0,+13.15,+13.2,guardian_exit,3,closed
2026-05-14 05:05,2026-05-14 17:07,LINKUSDT,cascade_v2,LONG,1.00,10.2071,10.6767,10.8020,10.0454,0.085270,+5.8,+1.2,3.68,DOWN,0.04,10.8020,10.0880,100.0000,5.0,+22.92,+22.9,guardian_exit,12,closed
2026-05-14 05:05,2026-05-14 14:53,ADAUSDT,cascade_v2,LONG,1.00,0.264832,0.268617,0.268751,0.261893,0.00195931,+4.9,-1.3,1.33,DOWN,0.03,0.277700,0.268200,100.0000,5.0,+7.06,+7.1,tp_hit,9,closed
2026-05-14 03:05,2026-05-14 14:53,ETHUSDT,cascade_v2,LONG,1.00,2254.13,2278.21,2279.35,2235.21,12.6128,+5.7,-0.4,1.33,DOWN,0.11,2381.88,2263.43,100.0000,5.0,+5.26,+5.3,tp_hit,11,closed
2026-05-14 03:05,2026-05-14 13:18,DOGEUSDT,cascade_v2,LONG,0.95,0.113727,0.116547,0.116605,0.111568,0.00143914,-0.8,+5.5,1.33,UP,0.05,0.112830,0.107430,100.0000,5.0,+12.32,+12.3,tp_hit,10,closed
2026-05-13 23:05,2026-05-14 12:03,1000PEPEUSDT,cascade_v2,LONG,0.94,0.00405823,0.00399544,0.00413928,0.00399744,0.00004053,+13.1,-3.4,1.33,DOWN,0.04,0.00458960,0.00419420,100.0000,5.0,-7.82,-7.8,sl_hit,12,closed
2026-05-13 22:05,2026-05-14 16:08,XRPUSDT,cascade_v2,LONG,0.99,1.4177,1.4739,1.5078,1.4032,0.00965798,+6.4,+0.0,6.21,DOWN,0.09,1.5078,1.4176,100.0000,5.0,+19.72,+19.7,guardian_exit,18,closed
2026-05-13 21:05,2026-05-14 17:07,1000SHIBUSDT,cascade_v2,LONG,0.71,0.00628914,0.00640879,0.00639336,0.00621098,0.00005211,+6.5,-0.5,1.33,DOWN,0.05,0.00669600,0.00632200,100.0000,5.0,+9.43,+9.4,guardian_momentum_exit,20,closed
2026-05-13 17:05,2026-05-14 16:08,NEARUSDT,cascade_v2,LONG,1.00,1.5948,1.6232,1.6553,1.4879,0.030273,+2.3,+5.8,0.57,DOWN,0.11,1.6310,1.5030,100.0000,5.0,+8.82,+8.8,guardian_exit,23,closed
2026-05-13 15:05,2026-05-13 16:00,BNBUSDT,cascade_v2,LONG,0.94,673.7267,665.2584,684.5740,665.5912,5.4237,-0.0,+3.5,1.33,UP,0.13,673.5900,650.3900,100.0000,5.0,-6.36,-6.4,sl_hit,0,closed
2026-05-13 15:05,2026-05-13 18:23,DOGEUSDT,cascade_v2,LONG,0.94,0.111936,0.114535,0.114592,0.106766,0.00132824,+0.8,+4.0,0.51,UP,0.19,0.112830,0.107430,100.0000,5.0,+11.53,+11.5,tp_hit,3,closed
2026-05-13 13:05,2026-05-14 13:08,AVAXUSDT,cascade_v2,LONG,0.97,9.8939,9.7521,10.4830,9.6229,0.092227,+6.0,+2.3,2.17,DOWN,0.17,10.4830,9.6690,100.0000,5.0,-7.25,-7.2,time_exit,24,closed
2026-05-13 12:05,2026-05-13 12:35,SOLUSDT,cascade_v2,LONG,0.88,94.5673,93.2087,98.3600,93.2554,0.589293,+4.0,+1.1,2.89,DOWN,0.09,98.3600,93.5500,100.0000,5.0,-7.26,-7.3,sl_hit,0,closed
2026-05-13 11:05,2026-05-13 12:25,POLUSDT,cascade_v2,LONG,1.00,0.100520,0.099599,0.104920,0.099649,0.00058080,+4.4,+0.3,5.05,UP,0.04,0.104920,0.100170,100.0000,5.0,-4.66,-4.7,sl_hit,1,closed
2026-05-13 10:05,2026-05-13 14:50,SUIUSDT,cascade_v2,LONG,0.97,1.2384,1.2040,1.4140,1.2046,0.016485,+14.2,+2.1,5.20,DOWN,0.12,1.4140,1.2128,100.0000,5.0,-13.99,-14.0,sl_hit,4,closed
2026-05-13 00:05,2026-05-13 10:30,TONUSDT,cascade_v2,LONG,0.96,2.2942,2.2306,2.5057,2.2317,0.041710,+9.2,+1.3,3.38,DOWN,0.05,2.5057,2.2650,100.0000,5.0,-13.96,-14.0,sl_hit,10,closed
2026-05-12 19:05,2026-05-13 19:08,XRPUSDT,cascade_v2,LONG,0.73,1.4380,1.4219,1.5078,1.4051,0.010293,+4.9,+1.9,2.12,DOWN,0.05,1.5078,1.4102,100.0000,5.0,-5.69,-5.7,time_exit,24,closed
2026-05-12 18:05,2026-05-13 18:08,TRXUSDT,cascade_v2,LONG,0.98,0.348454,0.349945,0.352600,0.346988,0.00097716,+1.2,+0.1,2.83,DOWN,0.07,0.352600,0.348210,100.0000,5.0,+2.06,+2.1,time_exit,24,closed
2026-05-12 18:05,2026-05-13 12:40,ADAUSDT,cascade_v2,LONG,0.94,0.270235,0.266200,0.288600,0.266333,0.00260151,+6.8,+0.8,4.71,DOWN,0.07,0.288600,0.268200,100.0000,5.0,-7.55,-7.5,sl_hit,18,closed
2026-05-12 18:05,2026-05-13 13:50,1000SHIBUSDT,cascade_v2,LONG,0.90,0.00639520,0.00626935,0.00669600,0.00627248,0.00005704,+4.7,+1.5,2.45,DOWN,0.06,0.00669600,0.00630100,100.0000,5.0,-9.92,-9.9,sl_hit,19,closed
2026-05-12 15:05,2026-05-13 09:20,DOGEUSDT,cascade_v2,LONG,0.98,0.108814,0.112774,0.112830,0.105741,0.00091793,+3.7,+2.4,1.31,DOWN,0.09,0.112830,0.106200,100.0000,5.0,+18.11,+18.1,tp_hit,18,closed
2026-05-12 13:05,2026-05-12 14:00,1000PEPEUSDT,cascade_v2,LONG,0.96,0.00421200,0.00415403,0.00458960,0.00415610,0.00003727,+9.0,+0.4,6.75,DOWN,0.08,0.00458960,0.00419420,100.0000,5.0,-6.96,-7.0,sl_hit,0,closed
2026-05-12 07:05,2026-05-12 11:20,DOTUSDT,cascade_v2,LONG,0.76,1.3497,1.3264,1.4190,1.3271,0.011841,+5.1,+1.2,3.07,DOWN,0.13,1.4190,1.3330,100.0000,5.0,-8.70,-8.7,sl_hit,4,closed
2026-05-12 03:05,2026-05-12 16:55,TRXUSDT,cascade_v2,LONG,0.78,0.348784,0.346993,0.353420,0.347166,0.00107874,+1.3,+0.2,2.87,DOWN,0.23,0.353420,0.348210,100.0000,5.0,-2.65,-2.6,sl_hit,13,closed
2026-05-12 02:05,2026-05-12 12:35,1000PEPEUSDT,cascade_v2,LONG,0.85,0.00429375,0.00416993,0.00458960,0.00417202,0.00004436,+6.9,+2.3,2.43,DOWN,0.17,0.00458960,0.00419420,100.0000,5.0,-14.50,-14.5,sl_hit,10,closed
