bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
29812,29815,LONG,7.555775999999999,7.666165,7.701,7.4258400053960845,1.12,GUARDIAN_EXIT,0.6905,167.4599,10.0,,0.0,,
29813,29819,LONG,7.612804499999999,7.472262000000001,7.758425814626906,7.425594671343273,0.78,GUARDIAN_EXIT,-0.9631,166.4968,10.0,,0.0,,
29832,29839,SHORT,7.564216,7.421709,7.308,7.729605863614641,1.55,GUARDIAN_EXIT,0.902,167.3988,10.0,,0.0,,
29850,29856,LONG,7.5307635,7.6491735,7.7054713730960565,7.396323031725986,1.3,GUARDIAN_EXIT,0.7462,168.1449,10.0,,0.0,,
30133,30140,SHORT,6.6876545,6.767739548304215,6.585384007174125,6.764357369619406,1.33,LOSS,-0.6388,167.5062,10.0,,0.0,,
30484,30492,SHORT,7.270363000000001,7.106551499999999,7.15,7.3651925631461115,1.27,GUARDIAN_MOMENTUM_EXIT,1.0866,168.5928,10.0,,0.0,,
30509,30510,LONG,7.0445205,7.148424,7.150279294245234,6.965201404316075,1.33,GUARDIAN_MOMENTUM_EXIT,0.6975,169.2902,10.0,,0.0,,
30605,30606,SHORT,7.8170895,7.659827999999999,7.652831125471901,7.9402832808960735,1.33,GUARDIAN_MOMENTUM_EXIT,0.9659,170.2561,10.0,,0.0,,
30690,30726,SHORT,7.946025000000001,7.9499980125,7.719786212263497,8.204559696934126,0.88,TIMEOUT_MOMENTUM,0.1175,170.3736,10.0,30692.0,0.16,7.895946,0.5
30700,30736,SHORT,7.773111500000001,7.77699805575,7.567124999625632,7.991496625093593,0.94,TIMEOUT_MOMENTUM,0.1569,170.5305,10.0,30702.0,0.1994,7.711854,0.5
30740,30743,LONG,7.361679,7.526235000000001,7.540252050705106,7.202356737323723,1.12,GUARDIAN_MOMENTUM_EXIT,1.0777,171.6082,10.0,,0.0,,
30760,30763,SHORT,7.5132415,7.381689,7.339905881120781,7.730333904719805,0.8,GUARDIAN_EXIT,0.8355,172.4436,10.0,,0.0,,
